time_id,rmse,mae,mda
2568,5.861705826692363e-05,4.2928719844072736e-05,0.8
2591,8.556254539671655e-05,6.415145222722994e-05,1.0
2883,6.288272914225609e-05,5.658024145727839e-05,0.8
3154,5.4042675415887914e-05,4.400491799198816e-05,0.6
3291,7.667230108495154e-05,5.737585628244457e-05,0.8
3516,3.7016754486005566e-05,2.7542698120639058e-05,1.0
3601,5.0916750659082994e-05,4.1862048588831804e-05,0.6
3884,6.094952536057895e-05,4.531695581569373e-05,1.0
4004,5.700322168766504e-05,4.6713537911309386e-05,0.8
4069,4.0850384102012834e-05,3.318720312744803e-05,0.8
4084,3.898895657561105e-05,3.575065221885638e-05,0.8
5400,5.10401418088518e-05,3.701646747517775e-05,0.8
6213,0.0004691353508086068,0.0002342347778369206,0.8
6256,7.196611548509296e-05,5.638933117052828e-05,1.0
6545,3.3753643816416114e-05,3.038503622272844e-05,0.6
6679,7.77354581659931e-05,5.659186820294225e-05,1.0
6693,3.467451965891725e-05,2.1730973543541586e-05,0.8
6850,4.6066146182016215e-05,2.9016187225086706e-05,1.0
7005,1.7634618763955544e-05,1.7102661434548286e-05,0.6
7260,4.176311882236424e-05,3.2605807426660705e-05,1.0
7465,5.64295108434834e-05,4.0558831220516544e-05,1.0
7624,7.429298610108638e-05,6.521256706406106e-05,0.8
7909,0.00013477991487464484,8.09533085940122e-05,0.8
8191,0.00010273911628045896,5.030602328981171e-05,0.8
8573,1.8770227511150234e-05,1.2991872813791495e-05,1.0
8590,4.3828813309969056e-05,2.9235492404751644e-05,0.8
8937,4.5524712011123177e-05,3.957045316120563e-05,0.8
9243,2.9843314026311785e-05,2.315915865812772e-05,1.0
9279,4.190899852595245e-05,3.70666033125079e-05,0.8
9779,0.00028640717215825843,0.0002434496943509597,0.6
10111,4.5025332370504095e-05,3.304997977081686e-05,0.8
10209,4.060358199060369e-05,3.91128509749292e-05,0.6
10642,3.046884175336633e-05,2.3312677636983418e-05,1.0
11874,2.595088862820097e-05,2.3996073469631497e-05,1.0
12584,0.0001503259803497709,0.00013933912079800708,0.6
13305,8.15453580668228e-05,6.724967635306658e-05,0.8
13321,7.829777735417203e-05,5.7592231971445735e-05,1.0
13410,0.00010114981692308586,7.907732616908217e-05,0.4
13421,4.3811943263379715e-05,2.8188107027897014e-05,1.0
13851,5.6605398346462035e-05,5.0974725062404414e-05,1.0
14093,8.72576458331393e-05,5.0091587408058086e-05,1.0
14435,3.229802412738005e-05,2.808130387947093e-05,1.0
14442,4.54965315341922e-05,4.079358248200814e-05,0.8
14646,8.45484808226114e-05,6.264851154963906e-05,1.0
14795,8.055904988396545e-05,6.99111624143339e-05,0.8
14897,6.873764595084e-05,5.2721461887757377e-05,0.8
15092,7.015990707867758e-05,5.9601179304005583e-05,0.8
15173,3.4415200379980277e-05,2.6220767404188416e-05,0.8
15319,2.8240295656999856e-05,1.7615257921848447e-05,1.0
15730,3.066935664273791e-05,2.1050577049120198e-05,0.6
16127,0.00017153484281816488,8.655938509987591e-05,1.0
16320,7.846992127344068e-05,5.198806100596387e-05,0.8
16666,6.510050048877868e-06,6.290855774101419e-06,0.6
16978,5.143693557165068e-05,3.057490704941362e-05,1.0
17785,6.937206130319636e-05,5.93546402492928e-05,1.0
17838,3.03484096900492e-05,2.4883821590226565e-05,1.0
19234,5.677316546809081e-05,5.116059866960735e-05,0.8
19309,8.865328316617836e-05,6.613695948755358e-05,0.6
19629,0.00010356807086647399,6.92408497768054e-05,1.0
20410,6.0269612227715466e-05,4.841688611632028e-05,1.0
20935,3.7553618552701183e-05,2.6643444987604015e-05,1.0
20973,7.016615299060383e-05,3.956296255231042e-05,1.0
21079,5.165585401059602e-05,4.052710831408201e-05,1.0
22106,5.735390686801785e-05,5.19431643063209e-05,0.8
22946,5.775141905709484e-05,4.046507778931149e-05,1.0
22973,2.3553701061870906e-05,2.1008999104251628e-05,1.0
23254,6.552128123069068e-05,4.597964670426192e-05,1.0
23750,3.246555091307944e-05,2.3612980051666016e-05,1.0
24457,0.00012701936420048856,8.633310303740709e-05,0.6
25569,0.00023338460752722425,0.0001597485262901574,0.8
25636,0.0001610221134873322,0.00012050589282293501,0.4
25680,7.086052402469803e-05,4.837360481305933e-05,1.0
25712,0.00010367726993583035,6.535738960214192e-05,0.8
25731,4.201106382057032e-05,3.424039257846298e-05,0.8
26538,0.0002595895833872922,0.0001508725594629413,0.6
27957,0.00010954235317760508,8.132801933590567e-05,1.0
28292,0.00020373176918472258,0.0001969444086477862,1.0
28838,0.0001661251562116025,0.00010067796750066231,1.0
30334,2.9721942161775127e-05,2.372088820177212e-05,0.6
30376,0.00025078894863816195,0.00019895222006343586,1.0
30866,0.0001081577374949974,7.665973681099217e-05,0.8
30999,3.934803109489187e-05,3.48156820339084e-05,0.8
31656,0.00010850293129060118,5.5260748688754374e-05,0.8
32175,3.5502186672735395e-05,3.117606075260685e-05,1.0
32376,2.9569431860577658e-05,2.0451659254710353e-05,1.0
32709,3.592102109558155e-05,3.170006078771013e-05,0.6
32750,0.00010096891311440258,7.974672976465305e-05,0.6
229,8.90070828217361e-06,7.211633356577557e-06,0.8
232,3.010139197372423e-05,2.2269856595351064e-05,0.8
326,2.5522339047612645e-05,2.148849488389326e-05,0.8
420,8.868906811191023e-05,7.449041347350228e-05,1.0
904,2.476785443609148e-05,2.2597241919339935e-05,0.8
1365,4.211786371070286e-05,2.7677375197892303e-05,0.8
2076,1.0408606855912394e-05,8.165319558246654e-06,1.0
2136,1.4580211551224505e-05,1.431185740519189e-05,1.0
