time_id,rmse,mae,mda,prediction_time,model
157,0.00032962450871053565,0.0002235774180474598,0.8,0.24431109428405762,lightgbm
633,0.00026819477660103557,0.0002073027377949519,0.8,0.14406824111938477,lightgbm
886,0.00010814791874717451,8.007172728591946e-05,0.8,0.09517121315002441,lightgbm
1292,2.5890150102135346e-05,2.341085434361187e-05,1.0,0.06941580772399902,lightgbm
1513,4.734828603916949e-05,2.5986975182558763e-05,0.8,0.03766202926635742,lightgbm
1663,4.076487314195165e-05,3.0347033778389712e-05,1.0,0.05731606483459473,lightgbm
1810,2.6664583852541872e-05,2.313476050782486e-05,1.0,0.21992278099060059,lightgbm
1820,9.146040157358998e-05,7.789546980182224e-05,0.4,0.2140510082244873,lightgbm
1862,0.00011193950617634495,7.660681219180194e-05,0.8,0.24271011352539062,lightgbm
1920,3.9564989179360644e-05,3.7345159401329676e-05,0.8,0.23883581161499023,lightgbm
1998,0.00031223185165640057,0.00022111449187646662,1.0,0.2560007572174072,lightgbm
2553,5.568293547877659e-05,3.4362728561973366e-05,1.0,0.3527028560638428,lightgbm
2567,5.733931800305562e-05,4.36585481965552e-05,0.8,0.21584296226501465,lightgbm
2568,3.3486572282413384e-05,1.6767110399458747e-05,0.8,0.18497490882873535,lightgbm
2591,0.0003175694543511053,0.00023430259652949502,0.4,0.10872006416320801,lightgbm
2883,2.8839311309233193e-05,2.423342851146796e-05,1.0,0.26419711112976074,lightgbm
3154,0.00014742018733193094,0.00010326209507640451,1.0,0.08914828300476074,lightgbm
3291,9.048668022989952e-05,6.445623639137328e-05,1.0,0.06314611434936523,lightgbm
3516,3.4224388906115024e-05,2.3611673422982025e-05,1.0,0.0411381721496582,lightgbm
3601,7.503222004076134e-05,6.95190350694873e-05,0.6,0.04412412643432617,lightgbm
3884,4.708621987726255e-05,4.034736191878185e-05,1.0,0.06720900535583496,lightgbm
4004,0.0001054479840081632,6.307481288697717e-05,1.0,0.14882731437683105,lightgbm
4069,4.58301843300058e-05,3.385798325756793e-05,1.0,0.05521202087402344,lightgbm
4084,2.0385076298919547e-05,1.2746256445215874e-05,0.6,0.09161972999572754,lightgbm
5400,4.5135108245763624e-05,2.7842046556612632e-05,1.0,0.036551713943481445,lightgbm
6213,6.000633791554531e-05,4.535303408429879e-05,0.8,0.05568408966064453,lightgbm
6256,0.0001315625628321131,0.00010671281015572772,0.6,0.1442890167236328,lightgbm
6545,0.00010124273096156125,7.76547648870522e-05,0.8,0.03720498085021973,lightgbm
6679,0.00027784092703377403,0.0002026160640200075,0.6,0.048851966857910156,lightgbm
6693,5.473472876741684e-05,4.8848583601849474e-05,1.0,0.0745241641998291,lightgbm
6850,7.981868100815879e-05,4.6001416187974995e-05,1.0,0.04677605628967285,lightgbm
7005,4.000993460664004e-05,3.636289246496802e-05,0.8,0.04041695594787598,lightgbm
7260,6.449829961958273e-05,3.516920731276928e-05,1.0,0.04891395568847656,lightgbm
7465,7.395510857599446e-05,5.655964546956023e-05,1.0,0.04614591598510742,lightgbm
7624,8.341919345364194e-05,6.423531863212197e-05,0.8,0.08323192596435547,lightgbm
7909,2.949137929269335e-05,2.0392191787616106e-05,0.8,0.0780940055847168,lightgbm
8191,2.4267283918188262e-05,2.280509337770078e-05,0.8,0.06322193145751953,lightgbm
8573,3.923321784200088e-05,3.0682949133047705e-05,0.6,0.07770609855651855,lightgbm
8590,2.6676526123330683e-05,1.927524304609708e-05,0.8,0.10640430450439453,lightgbm
8937,4.188043500041989e-05,3.186319273412373e-05,0.6,0.06886100769042969,lightgbm
9243,4.4585955237207484e-05,3.358407509978067e-05,0.8,0.03226876258850098,lightgbm
9279,0.00010864248194700792,9.038287940348587e-05,1.0,0.0687260627746582,lightgbm
9779,0.0004441025514540192,0.00033225139578972997,0.6,0.03004908561706543,lightgbm
10111,4.661627787226039e-05,3.644539634152301e-05,0.8,0.10004830360412598,lightgbm
10209,1.2974573157999546e-05,1.2461932919821113e-05,1.0,0.05455923080444336,lightgbm
10642,1.6626946786076436e-05,1.385298468129553e-05,1.0,0.06545424461364746,lightgbm
11874,2.2590155042583612e-05,1.7112357405922862e-05,0.8,0.07033777236938477,lightgbm
12584,0.00012785154580517724,9.64568116102339e-05,0.6,0.03756308555603027,lightgbm
13305,0.00013532512441444066,7.58432388399668e-05,1.0,0.05912017822265625,lightgbm
13321,0.00015846945206595173,9.845532511078515e-05,1.0,0.037772178649902344,lightgbm
13410,2.5611201975564982e-05,2.1761471652606836e-05,1.0,0.04011416435241699,lightgbm
13421,9.076849490181436e-05,8.208918529673465e-05,1.0,0.09316015243530273,lightgbm
13851,0.0004942688804871298,0.00024308550716983598,1.0,0.07440781593322754,lightgbm
14093,8.893291133970793e-05,6.529773094094378e-05,0.2,0.028725862503051758,lightgbm
14435,2.2794300088504914e-05,1.8164676117788168e-05,1.0,0.07466912269592285,lightgbm
14442,0.00023865102588146653,0.00016242491878476774,1.0,0.04164290428161621,lightgbm
14646,7.635862929135747e-05,5.8772714776448925e-05,0.8,0.040508270263671875,lightgbm
14795,6.239415757965176e-05,4.689785882490456e-05,1.0,0.06489777565002441,lightgbm
14897,4.542362740146651e-05,3.320735893314486e-05,1.0,0.10451698303222656,lightgbm
